[*:1]c1ccc(F)c(C(=N)N)c1,[*:1]/C(C)=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl,[*:1]c1ccc2ccnc(N)c2c1
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN=C(C)N
[*:1]C(=N)N(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN=C(C)N
[*:1]CN=C(C)N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N(C)C
[*:1]N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN=C(C)N
[*:1]c1ccccc1CN=C(C)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)NC
[*:1]CN=C(C)N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN=C(N)N
[*:1]CNN(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1CN=C(C)N
[*:1]c1ccccc1CN=C(C)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]c1ccccc1CN=C(C)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N1CCCCC1=O
[*:1]c1ccccc1CN(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)N
[*:1]c1ccccc1C(=N)N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)N
[*:1]c1ccccc1N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)N
[*:1]c1ccccc1N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)N
[*:1]CN(C)C(=N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)NC
[*:1]CN(C)C(=N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1CN=C(N)N
[*:1]CN(C)C(=N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]CN(C)C1=NCCN1C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)N
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)N
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]C(=N)N(C)C
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N(C)C
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N
[*:1]CN(C)C(=N)NC,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1CN(C)C
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN=C(N)N
[*:1]c1ccccc1CN(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]c1ccccc1CN(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]c1ccccc1CN(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N1CCCCC1=O
[*:1]N(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]C(=N)N(C)C
[*:1]N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]C(=N)N(C)C
[*:1]c1ccccc1C(=N)N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)NC
[*:1]C(=N)N(C)C,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN=C(N)N
[*:1]c1ccccc1C(=N)N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]c1ccccc1C(=N)N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]c1ccccc1C(=N)N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N1CCCCC1=O
[*:1]N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N(C)C
[*:1]CN(C)C(=N)NC,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1N(C)C
[*:1]CN=C(N)N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N(C)C
[*:1]c1ccccc1N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]CN(C)C1=NCCN1C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1N(C)C
[*:1]c1ccccc1N(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N1CCCCC1=O
[*:1]c1ccccc1N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)NC
[*:1]CN=C(N)N,[*:1]c1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N
[*:1]c1ccccc1N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]c1ccccc1N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]c1ccccc1N
[*:1]c1ccccc1CN=C(N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)NC
[*:1]CN(C)C(=N)NC,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]CN(C)C(=N)NC,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C(=N)NC
[*:1]c1ccccc1CN=C(N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]c1ccccc1CN=C(N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]c1ccccc1CN=C(N)N,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]N1CCCCC1=O
[*:1]CNN(C)C,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CNN(C)C
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]CN(C)C1=NCCN1C
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]C(=N)N(C)C
[*:1]N1CCCCC1=O,[*:1]c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]n1ccccc1=O
[*:1]n1ccccc1=O,[*:1]c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)cn2)cc1,[*:1]C(=N)N(C)C
[*:1]S(C)(=O)=O,[*:1]c1ccccc1-c1ccc(C(C)C(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,[*:1]S(N)(=O)=O
[*:1]S(N)(=O)=O,[*:1]c1ccccc1-c1ccc(C(C)C(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]S(C)(=O)=O
[*:1]NC(=O)c1ccccc1,[*:1]c1ccc(C(C)NC(=O)CNC(=O)Nc2ccc(C(=N)N)cc2)cc1,[*:1]Oc1ccc(OC)cc1
[*:1]NS(=O)(=O)CCCC,[*:1]c1ccc(C)n(CC(=O)NC2CCc3nc(N)sc3C2)c1=O,[*:1]NS(=O)(=O)CCC
[*:1]OC,[*:1]c1ccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)cc1,[*:1]c1ccccc1
[*:1]Cl,[*:1]c1ccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)cc1,[*:1]c1ccccc1
[*:1]c1ccccc1,[*:1]c1ccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)cc1,[*:1]C(F)F
[*:1]I,[*:1]c1ccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)cc1,[*:1]c1ccccc1
[*:1]c1ccccc1,[*:1]c1ccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)cc1,[*:1]C
[*:1]Br,[*:1]c1ccc(C2=NOC(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)cc1,[*:1]c1ccccc1
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,[*:1]S(C)(=O)=O
[*:1]CN(C)C,[*:1]c1ccccc1-c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,[*:1]S(N)(=O)=O
[*:1]n1ccccc1=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,[*:1]c1ccccc1S(C)(=O)=O
[*:1]c1ccccc1S(N)(=O)=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,[*:1]n1ccccc1=O
[*:1]S(N)(=O)=O,[*:1]c1ccccc1-c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,[*:1]S(C)(=O)=O
[*:1]S(C)(=O)=O,[*:1]c1ccccc1-c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]S(N)(=O)=O
[*:1]c1ccccc1S(N)(=O)=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]n1ccnc1CN(C)C
[*:1]CN1CCCC1,[*:1]c1ccccc1-c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]S(N)(=O)=O
[*:1]N1CCCCC1=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]c1ccccc1S(N)(=O)=O
[*:1]n1ccnc1CN(C)C,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]c1ccccc1S(C)(=O)=O
[*:1]S(C)(=O)=O,[*:1]c1ccccc1-c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]CN1CCCC1
[*:1]c1ccccc1S(C)(=O)=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]N1CCCCC1=O
[*:1]c1ccccc1CN1CCCC1,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]n1ccnc1CN(C)C
[*:1]N1CCCCC1=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]n1ccnc1CN(C)C
[*:1]N1CCCCC1=O,[*:1]c1ccc(CC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)cc1,[*:1]c1ccccc1CN1CCCC1
[*:1]NC(=O)c1ccccc1,[*:1]c1ccc(CC(C(=O)Nc2ccc(-n3cnc4ccccc43)cc2)c2c[nH]c3ccc(C(=N)N)cc23)cc1,[*:1]N
[*:1]C(=N)N,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]N=C(N)N
[*:1]N=C(N)N,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]C(=O)OC
[*:1]N,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]N=C(N)N
[*:1]C(=N)N,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]N
[*:1]C(N)=O,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]NS(C)(=O)=O
[*:1]C(=O)OC,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]C(N)=O
[*:1]N,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]C(N)=O
[*:1]C(=O)OC,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]NS(C)(=O)=O
[*:1]NS(C)(=O)=O,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]N
[*:1]C(=O)OC,[*:1]c1ccc(CCC(CC(=O)OC)c2cccc(C(=N)N)c2)cc1,[*:1]N
[*:1]C(C)C,[*:1]c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)cc1,[*:1]C(C)(C)C
[*:1]C(C)(C)C,[*:1]c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)cc1,[*:1]OC(C)C
[*:1]OC(C)C,[*:1]c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)cc1,[*:1]C(C)C
[*:1]NC(=O)OC(C)(C)C,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2Cl)cc1,[*:1]Cl
[*:1]NC(=O)OC(C)(C)C,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2Cl)cc1,[*:1]Br
[*:1]C#N,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2Cl)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1]NC(C)=O,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2Cl)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1]Cl,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1]Br,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1]N,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1]C#N,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1]NC(C)=O,[*:1]c1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,[*:1]NC(=O)OC(C)(C)C
[*:1][N+](C)(C)C,[*:1]c1ccc(CNC(=O)c2cc3c(OC)cccc3n2Cc2cccc(C(=N)N)c2)cc1,[*:1]c1cc[n+](C)cc1
[*:1][N+](C)(C)CC#C,[*:1]c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,[*:1][N+](C)(C)C
[*:1][N+](C)(C)CC=C,[*:1]c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,[*:1][N+](C)(C)C
[*:1][N+](C)(C)CC#C,[*:1]c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,[*:1][N+](C)(C)CC
[*:1][N+](C)(C)CC=C,[*:1]c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,[*:1][N+](C)(C)CC#C
[*:1][N+](C)(C)CC,[*:1]c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,[*:1][N+](C)(C)CC=C
[*:1]c1ccccc1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCCNC3)c2)cc1,[*:1]F
[*:1]F,[*:1]c1ccc(COc2cccc(NC(=O)C3CCN(C(=N)N)CC3)c2)cc1,[*:1]c1ccccc1
[*:1]c1ccc(C(F)(F)F)cc1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1cc(F)cc(F)c1
[*:1]c1cccc(F)c1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccc(C(F)(F)F)cc1
[*:1]c1ccc(F)cc1F,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccc(C(F)(F)F)cc1
[*:1]c1ccc(C(F)(F)F)cc1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1cccc(F)c1F
[*:1]c1c(F)cc(F)cc1F,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccc(C(F)(F)F)cc1
[*:1]c1cc(F)cc(F)c1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccccc1
[*:1]F,[*:1]c1cccc(-c2ccc(COc3cccc(NC(=O)C4CCNCC4)c3)cc2)c1,[*:1][H]
[*:1]c1ccc(F)cc1F,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccccc1
[*:1]c1ccccc1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1cccc(F)c1F
[*:1]c1cc(F)c(F)c(F)c1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccccc1
[*:1][H],[*:1]c1ccccc1-c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]F
[*:1]c1ccccc1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1cc(F)ccc1F
[*:1]c1ccccc1,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1c(F)cccc1F
[*:1]c1c(F)cc(F)cc1F,[*:1]c1ccc(COc2cccc(NC(=O)C3CCNCC3)c2)cc1,[*:1]c1ccccc1
[*:1]OC([*:2])C(=O)OC,[*:2]c1ccc(Cl)cc1.[*:1]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:1]OC([*:2])CC(=O)OC
[*:1]OC([*:2])C(=O)OC,[*:2]c1ccc(Cl)cc1.[*:1]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:1]OC([*:2])CCC(=O)OC
[*:1]CO[*:2],[*:1]c1ccc(Cl)cc1.[*:2]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:2]OC([*:1])C(=O)OC
[*:1]OC([*:2])CCC(=O)OC,[*:2]c1ccc(Cl)cc1.[*:1]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:1]OC([*:2])CC(=O)OC
[*:1]CC(=O)N[*:2],[*:2]c1ccc(Cl)cc1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]Cc1cc([*:2])no1
[*:1]Cc1cc([*:2])on1,[*:2]c1ccc(Cl)cc1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]CC(=O)N[*:2]
[*:1]Cc1nc([*:2])no1,[*:2]c1ccc(Cl)cc1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]CC(=O)N[*:2]
[*:1]Cc1cnc([*:2])s1,[*:2]c1ccc(Cl)cc1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]CC(=O)N[*:2]
[*:1]CC[*:2],[*:2]c1ccc(Cl)cc1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]Cc1cc([*:2])no1
[*:1]n1cncn1,[*:1]c1ccc(Cl)cc1Cc1nc2c(NCC(F)(F)C3CCCCN3)nccc2o1,[*:1][H]
[*:1][H],[*:1]c1ccc(Cl)cc1Cc1nc2c(NCCC3CCCCN3)nccc2o1,[*:1]n1cncn1
[*:1]CC(=O)N[*:2],[*:2]c1ccc(Cl)s1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]Cc1cc([*:2])on1
[*:1]CC(=O)N[*:2],[*:2]c1ccc(Cl)s1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]Cc1cc([*:2])no1
[*:1]CC(=O)N[*:2],[*:2]c1ccc(Cl)s1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]Cc1nnc([*:2])s1
[*:1]CC(=O)N[*:2],[*:2]c1ccc(Cl)s1.[*:1]n1c(C(=O)NC2CCN(C(C)C)CC2)cc2ccccc21,[*:1]Cc1cnc([*:2])s1
[*:1]CN([*:2])CC(=O)O,[*:1]c1ccc(F)c(F)c1.[*:2]c1ccc2c(c1)N(C)CC(C)(COc1ccc(C(=N)N)cc1)O2,[*:1]CN([*:2])C(=O)C(=O)O
[*:1]CN([*:2])C(=O)C(=O)O,[*:1]c1ccc(F)c(F)c1.[*:2]c1ccc2c(c1)OC(C)(COc1ccc(C(=N)N)cc1)CN2C,[*:1]CN([*:2])CC(=O)O
[*:1]CN([*:2])CC(=O)O,[*:1]c1ccc(F)cc1.[*:2]c1ccc2c(c1)N(C)CC(C)(COc1ccc(C(=N)N)cc1)O2,[*:1]CN([*:2])C(=O)C(=O)O
[*:1]CN([*:2])C(=O)C(=O)O,[*:1]c1ccc(F)cc1.[*:2]c1ccc2c(c1)OC(C)(COc1ccc(C(=N)N)cc1)CN2C,[*:1]CN([*:2])CC(=O)O
[*:2]OC([*:1])C(=O)OC,[*:1]c1ccc(F)cc1.[*:2]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:1]CO[*:2]
[*:1]OC([*:2])C(N)=O,[*:2]c1ccc(F)cc1.[*:1]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:1]OC([*:2])C(=O)OC
[*:2]OC([*:1])C(=O)O,[*:1]c1ccc(F)cc1.[*:2]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:1]CO[*:2]
[*:1]CO[*:2],[*:1]c1ccc(F)cc1.[*:2]c1cccc(-c2ccc3sc(C(=N)N)cc3c2)c1,[*:2]OC([*:1])C(N)=O
[*:1]c1conc1CN(C)C,[*:1]c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]n1ccnc1CN(C)C(C)C
[*:1]c1conc1CN(C)C,[*:1]c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]n1ccnc1CN1CCOCC1
[*:1]c1conc1CN(C)C,[*:1]c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]c1ccccc1S(C)(=O)=O
[*:1]n1ccnc1CN(C)CC,[*:1]c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]c1conc1CN(C)C
[*:1]n1ccnc1CN1CCCC1,[*:1]c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]c1conc1CN(C)C
[*:1]CN(C)C(C)C,[*:1]c1nccn1-c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]CN1CCOCC1
[*:1]n1ccnc1CN(C)C(C)C,[*:1]c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]c1ccccc1S(C)(=O)=O
[*:1]CN(C)C(C)C,[*:1]c1nccn1-c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,[*:1]CN(C)CC
